geo_key,name,bndry_chg,acres,hu_10,pc_own_10,tot_pop_10,pc_un5_10,pc_un18_10,pc_ov64_10,pc_wht_10,pc_afrm_10,pc_asn_10,pc_othm_10,pc_hisp_10,hh_10,fam_10,pc_fmwc_10,pc_fhwc_10,du_cty,asst_unts,du_cmps,yrblt_mdn,foreclsr,prd_viol,avg_huval,sqft_val,crm_pers,crm_prop,crm_scty,crash,pc_vterm,pc_appr,pc_krdy,pc_nhsg,pc_clgg,pc_frlu,medhhinc,fam_pov,pc_unem,gds_svcs,pc_trst,trst_trps,pc_ownvh,avg_stcnd
86,Westchester Gardens Neighborhood Association,No,522.3,522,61.2,1302,7.2,24.8,4.2,65.7,8.3,3.9,2.6,19.6,501,315,31.0,8.9,530,9,0,1985,4,13,162484,103,11,73,69,58,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",65.2,1022,N/A,7.2
107,Hiestand Neighborhood Association,No,406.0,1473,25.8,3560,8.9,25.2,10.7,58.9,15.2,3.7,4.6,17.7,1422,826,32.3,15.1,1449,225,0,1978,5,61,174249,108,29,110,134,34,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",89.2,699,N/A,5.6
164,Westhaven Trails Homeowners Assoc,No,158.4,835,45.7,1956,10.0,26.5,2.8,66.2,13.3,4.9,4.4,11.3,801,466,33.3,10.3,832,25,0,1990,1,19,194430,114,8,44,20,16,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,92.1,288,N/A,6.5
95,Mendota Hills Neighborhood Association,No,54.7,156,94.6,364,6.1,17.7,16.6,82.6,4.2,2.5,2.8,8.0,154,106,21.8,1.8,151,0,0,1959,1,2,171052,95,0,3,4,2,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,G,100,258,N/A,6.1
92,Lerdahl Park Neighborhood Association,No,196.8,454,65.4,925,7.5,16.6,16.4,80.4,8.2,2.5,4.5,4.5,419,263,20.5,7.4,474,7,0,1966,4,30,277825,128,7,23,39,6,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,C,80.8,258,N/A,6.3
138,"Hill Farms, University Neighborhood Association",No,486.0,1426,62.0,2942,4.7,19.0,20.5,76.4,1.9,15.4,2.7,3.5,1385,790,22.2,3.3,984,4,0,1960,2,28,304785,137,0,37,6,9,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"B,G,C",98.8,1904,N/A,6.8
165,Maple-Prairie Neighborhood Association,No,179.6,765,52.5,1732,6.0,21.7,3.5,79.6,5.1,6.1,3.1,6.1,743,418,26.9,5.2,833,5,0,1993,3,7,230323,103,1,42,11,6,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,G,C",79.6,145,N/A,7.8
159,Meadowood Neighborhood Association,No,373.7,1250,70.5,2962,7.9,25.3,12.6,68.6,13.7,3.9,3.7,10.2,1187,804,29.7,8.7,1281,48,0,1964,7,92,167362,100,21,107,206,31,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,C",97.5,1051,N/A,7
89,Whitetail Ridge,No,62.8,183,94.5,507,7.1,25.4,2.7,76.2,3.9,6.7,2.9,10.2,181,130,34.3,4.4,191,0,0,1995,0,7,177386,118,4,6,2,1,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,None,64.1,246,N/A,7.9
103,Hawthorne Neighborhood Association,No,253.5,538,55.5,1090,5.6,20.5,8.4,66.0,10.6,3.8,4.8,14.8,505,252,21.7,8.7,521,16,0,1955,4,32,127452,110,14,51,82,34,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,N/A,N/A,N/A,"P,B,C",57.7,1143,N/A,6
